01/04/1960,3.92
01/05/1960,3.85
01/06/1960,3.32
01/07/1960,3.23
01/08/1960,2.98
01/09/1960,2.6
01/10/1960,2.47
01/11/1960,2.44
01/12/1960,1.98
01/01/1961,1.45
01/02/1961,2.54
01/03/1961,2.02
01/04/1961,1.49
01/05/1961,1.98
01/06/1961,1.73
01/07/1961,1.17
01/08/1961,2
01/09/1961,1.88
01/10/1961,2.26
01/11/1961,2.61
01/12/1961,2.33
01/01/1962,2.15
01/02/1962,2.37
01/03/1962,2.85
01/04/1962,2.78
01/05/1962,2.36
01/06/1962,2.68
01/07/1962,2.71
01/08/1962,2.93
01/09/1962,2.9
01/10/1962,2.9
01/11/1962,2.94
01/12/1962,2.93
01/01/1963,2.92
01/02/1963,3
01/03/1963,2.98
01/04/1963,2.9
01/05/1963,3
01/06/1963,2.99
01/07/1963,3.02
01/08/1963,3.49
01/09/1963,3.48
01/10/1963,3.5
01/11/1963,3.48
01/12/1963,3.38
01/01/1964,3.48
01/02/1964,3.48
01/03/1964,3.43
01/04/1964,3.47
01/05/1964,3.5
01/06/1964,3.5
01/07/1964,3.42
01/08/1964,3.5
01/09/1964,3.45
01/10/1964,3.36
01/11/1964,3.52
01/12/1964,3.85
01/01/1965,3.9
01/02/1965,3.98
01/03/1965,4.05
01/04/1965,4.09
01/05/1965,4.1
01/06/1965,4.05
01/07/1965,4.09
01/08/1965,4.12
01/09/1965,4.02
01/10/1965,4.08
01/11/1965,4.1
01/12/1965,4.32
01/01/1966,4.42
01/02/1966,4.6
01/03/1966,4.66
01/04/1966,4.67
01/05/1966,4.9
01/06/1966,5.17
01/07/1966,5.3
01/08/1966,5.53
01/09/1966,5.4
01/10/1966,5.53
01/11/1966,5.76
01/12/1966,5.4
01/01/1967,4.94
01/02/1967,5
01/03/1967,4.53
01/04/1967,4.05
01/05/1967,3.94
01/06/1967,3.98
01/07/1967,3.79
01/08/1967,3.9
01/09/1967,3.99
01/10/1967,3.88
01/11/1967,4.13
01/12/1967,4.51
01/01/1968,4.61
01/02/1968,4.71
01/03/1968,5.05
01/04/1968,5.76
01/05/1968,6.12
01/06/1968,6.07
01/07/1968,6.03
01/08/1968,6.03
01/09/1968,5.78
01/10/1968,5.91
01/11/1968,5.82
01/12/1968,6.02
01/01/1969,6.3
01/02/1969,6.61
01/03/1969,6.79
01/04/1969,7.41
01/05/1969,8.67
01/06/1969,8.9
01/07/1969,8.61
01/08/1969,9.19
01/09/1969,9.15
01/10/1969,9
01/11/1969,8.85
01/12/1969,8.97
01/01/1970,8.98
01/02/1970,8.98
01/03/1970,7.76
01/04/1970,8.1
01/05/1970,7.95
01/06/1970,7.61
01/07/1970,7.21
01/08/1970,6.62
01/09/1970,6.29
01/10/1970,6.2
01/11/1970,5.6
01/12/1970,4.9
01/01/1971,4.14
01/02/1971,3.72
01/03/1971,3.71
01/04/1971,4.16
01/05/1971,4.63
01/06/1971,4.91
01/07/1971,5.31
01/08/1971,5.57
01/09/1971,5.55
01/10/1971,5.2
01/11/1971,4.91
01/12/1971,4.14
01/01/1972,3.51
01/02/1972,3.3
01/03/1972,3.83
01/04/1972,4.17
01/05/1972,4.27
01/06/1972,4.46
01/07/1972,4.55
01/08/1972,4.81
01/09/1972,4.87
01/10/1972,5.05
01/11/1972,5.06
01/12/1972,5.33
01/01/1973,5.94
01/02/1973,6.58
01/03/1973,7.09
01/04/1973,7.12
01/05/1973,7.84
01/06/1973,8.49
01/07/1973,10.4
01/08/1973,10.5
01/09/1973,10.78
01/10/1973,10.01
01/11/1973,10.03
01/12/1973,9.95
01/01/1974,9.65
01/02/1974,8.97
01/03/1974,9.35
01/04/1974,10.51
01/05/1974,11.31
01/06/1974,11.93
01/07/1974,12.92
01/08/1974,12.01
01/09/1974,11.34
01/10/1974,10.06
01/11/1974,9.45
01/12/1974,8.53
01/01/1975,7.13
01/02/1975,6.24
01/03/1975,5.54
01/04/1975,5.49
01/05/1975,5.22
01/06/1975,5.55
01/07/1975,6.1
01/08/1975,6.14
01/09/1975,6.24
01/10/1975,5.82
01/11/1975,5.22
01/12/1975,5.2
01/01/1976,4.87
01/02/1976,4.77
01/03/1976,4.84
01/04/1976,4.82
01/05/1976,5.29
01/06/1976,5.48
01/07/1976,5.31
01/08/1976,5.29
01/09/1976,5.25
01/10/1976,5.02
01/11/1976,4.95
01/12/1976,4.65
01/01/1977,4.61
01/02/1977,4.68
01/03/1977,4.69
01/04/1977,4.73
01/05/1977,5.35
01/06/1977,5.39
01/07/1977,5.42
01/08/1977,5.9
01/09/1977,6.14
01/10/1977,6.47
01/11/1977,6.51
01/12/1977,6.56
01/01/1978,6.7
01/02/1978,6.78
01/03/1978,6.79
01/04/1978,6.89
01/05/1978,7.36
01/06/1978,7.6
01/07/1978,7.81
01/08/1978,8.04
01/09/1978,8.45
01/10/1978,8.96
01/11/1978,9.76
01/12/1978,10.03
01/01/1979,10.07
01/02/1979,10.06
01/03/1979,10.09
01/04/1979,10.01
01/05/1979,10.24
01/06/1979,10.29
01/07/1979,10.47
01/08/1979,10.94
01/09/1979,11.43
01/10/1979,13.77
01/11/1979,13.18
01/12/1979,13.78
01/01/1980,13.82
01/02/1980,14.13
01/03/1980,17.19
01/04/1980,17.61
01/05/1980,10.98
01/06/1980,9.47
01/07/1980,9.03
01/08/1980,9.61
01/09/1980,10.87
01/10/1980,12.81
01/11/1980,15.85
01/12/1980,18.9
01/01/1981,19.08
01/02/1981,15.93
01/03/1981,14.7
01/04/1981,15.72
01/05/1981,18.52
01/06/1981,19.1
01/07/1981,19.04
01/08/1981,17.82
01/09/1981,15.87
01/10/1981,15.08
01/11/1981,13.31
01/12/1981,12.37
01/01/1982,13.22
01/02/1982,14.78
01/03/1982,14.68
01/04/1982,14.94
01/05/1982,14.45
01/06/1982,14.15
01/07/1982,12.59
01/08/1982,10.12
01/09/1982,10.31
01/10/1982,9.71
01/11/1982,9.2
01/12/1982,8.95
01/01/1983,8.68
01/02/1983,8.51
01/03/1983,8.77
01/04/1983,8.8
01/05/1983,8.63
01/06/1983,8.98
01/07/1983,9.37
01/08/1983,9.56
01/09/1983,9.45
01/10/1983,9.48
01/11/1983,9.34
01/12/1983,9.47
01/01/1984,9.56
01/02/1984,9.59
01/03/1984,9.91
01/04/1984,10.29
01/05/1984,10.32
01/06/1984,11.06
01/07/1984,11.23
01/08/1984,11.64
01/09/1984,11.3
01/10/1984,9.99
01/11/1984,9.43
01/12/1984,8.38
01/01/1985,8.35
01/02/1985,8.5
01/03/1985,8.58
01/04/1985,8.27
01/05/1985,7.97
01/06/1985,7.53
01/07/1985,7.88
01/08/1985,7.9
01/09/1985,7.92
01/10/1985,7.99
01/11/1985,8.05
01/12/1985,8.27
01/01/1986,8.14
01/02/1986,7.86
01/03/1986,7.48
01/04/1986,6.99
01/05/1986,6.85
01/06/1986,6.92
01/07/1986,6.56
01/08/1986,6.17
01/09/1986,5.89
01/10/1986,5.85
01/11/1986,6.04
01/12/1986,6.91
01/01/1987,6.43
01/02/1987,6.1
01/03/1987,6.13
01/04/1987,6.37
01/05/1987,6.85
01/06/1987,6.73
